TIME		IP.ADDR		NAME			BATTERY STATUS
18:28:58	127.0.0.1	krzysztof-hp		92
18:29:08	127.0.0.1	krzysztof-hp		92
18:29:18	127.0.0.1	krzysztof-hp		92
18:29:28	127.0.0.1	krzysztof-hp		92
18:29:38	127.0.0.1	krzysztof-hp		92
18:29:48	127.0.0.1	krzysztof-hp		92
18:29:58	127.0.0.1	krzysztof-hp		92
18:30:08	127.0.0.1	krzysztof-hp		92
18:30:18	127.0.0.1	krzysztof-hp		92
18:30:28	127.0.0.1	krzysztof-hp		92
18:30:38	127.0.0.1	krzysztof-hp		92
18:30:48	127.0.0.1	krzysztof-hp		92
18:30:58	127.0.0.1	krzysztof-hp		92
18:31:08	127.0.0.1	krzysztof-hp		92
18:31:18	127.0.0.1	krzysztof-hp		92
18:31:28	127.0.0.1	krzysztof-hp		92
18:31:38	127.0.0.1	krzysztof-hp		92
18:31:48	127.0.0.1	krzysztof-hp		92
18:31:58	127.0.0.1	krzysztof-hp		92
18:32:08	127.0.0.1	krzysztof-hp		92
18:32:18	127.0.0.1	krzysztof-hp		92
18:32:28	127.0.0.1	krzysztof-hp		92
18:32:38	127.0.0.1	krzysztof-hp		92
18:32:48	127.0.0.1	krzysztof-hp		92
18:32:58	127.0.0.1	krzysztof-hp		92
18:33:08	127.0.0.1	krzysztof-hp		92
18:33:18	127.0.0.1	krzysztof-hp		92
18:33:28	127.0.0.1	krzysztof-hp		93
18:33:38	127.0.0.1	krzysztof-hp		93
